NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
190001082484;2019;2;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;505;509;514;518;392.4;543.9;552.7;572;CBBDCACBCDCEBACBBCBBACAACBDAADADCADBDDDECABCD;ACACAEDCDACCADCDBABCDECBAAAABABEADEEEEDBCABCB;CBBAD99999EACBCAEAEBEAADDABBDEAEDBBEBCCAABAEDBACEE;DDBBABCECDECCECCBCBCDCECABDBCCDBCBBCDCBDBDDDC;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;160;180;160;180;60;740;E;G;D;D;5;J;B;E;E;A;B;B;A;B;A;B;A;A;D;A;B;E;A;B;B
190001084422;2019;10;F;1;4;1;1;6;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;506;507;511;517;456.7;406.2;473;400.2;DDDAECCDDCAD.CCDDBAAABEEAEADAABADAABCEEEAACEE;ECDACACCEABAAEACCCCAAABCBDDDEDDCACCDDAAEAABBA;99999BAABCCCBAEADABCAACEBABABABCCEDAADDCEDBDEBBBAA;CE*ACEDDDEBBCADCCAACDDCACABABDECDBEDABBEBBAAE;1;DEADBAAAEBEECEBCBCBCBDADAEABCEDDDDADCBEECACBC;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;AADDDBEEEBEDDBEBACABCDBABECECACAECDCBDCCEDCDA;1;100;120;120;100;140;580;E;E;D;C;3;B;A;B;C;A;A;B;B;B;B;A;A;A;A;A;B;B;A;A;B
190001084431;2019;12;M;1;3;1;1;12;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;B;A;5;C;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;B;A;A;B
190001084432;2019;4;M;1;3;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;413.9;427.8;464.1;410.4;AEEDBDABECBEBBBAEDBCCBADDBBEAAABEDCBEADCAEAAA;AB*ECCACAABCABABCADDAABAACCABCBCCBACBACAACDAB;AABBA99999ACCCCCAACBDCDECAEEDEEABCEDAAAAACACBABEBA;ACBBEACCACEBAAEABADABAAAAAACEBEABABABADABAABE;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;160;120;120;120;160;680;E;G;D;D;8;J;B;E;E;A;B;B;A;B;A;B;A;A;E;A;B;E;A;B;B
190001084441;2019;3;F;1;3;1;1;1;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;358.7;362.8;385.3;430.3;CEADBAEDDADDCBCADDCEDABADBCCEBCBACEDECBDCDEBB;BAAEADADBECDBBDDCEECBAEAECEBDACDBDCAEDBDDCCCE;ACCCB99999CDBCDECEAEDEBDDEBBEEBCAACEACEACBADCBECDC;EDCBEDCCADBDEBAEDADDCABDADBBBCCCBEDAADBBCDEAE;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;40;40;120;0;320;E;E;B;B;3;C;A;B;B;A;B;B;B;A;A;A;A;A;B;A;A;B;A;A;A
190001086229;2019;4;F;1;3;1;1;1;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;C;D;A;B;5;B;A;B;C;A;A;B;B;B;B;B;A;A;B;A;A;B;A;A;B
190001084484;2019;5;F;1;1;1;2;0;2;1;0;1301902;Itacoatiara;13;AM;2;1;1;1301902;Itacoatiara;13;AM;1;1;1;1;503;509;514;515;491.1;402.9;542.2;468.7;CEEAAEDEDEBBACBBBCEADBBBABCEBBBEBCECDCCAABECC;ECBCCEBDDBCCEAEAADAADDCABBCEBEDCBEBACDDAAAEAC;EBBAB99999BACECBEBCBDADDCEACAEBBDBDDECEADCACDCBBCE;CEEBEADCAECEADBECBDCAABEDDADEBACCEBCEBDDEEECD;0;AAECACDEADCBCDDDBCBDADAEABCEBABEEBCBEECEBDADC;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;EEEADBEBACABCDBABECECACDCBDCCEDCDABEDECDDDBAA;1;120;120;120;120;100;580;F;F;A;A;10;F;A;B;D;A;B;B;A;B;B;B;A;A;B;A;A;C;A;B;B
190001078697;2019;5;F;1;3;1;1;2;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;0;0;0;0;;;;;;;;;;;;;0;;;;;;;;;;;;D;H;A;A;6;B;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;D;A;A;A
190001078711;2019;3;M;1;3;1;1;2;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;504;507;511;516;502.4;584.2;506.9;692.9;ECCDEDBCBDCDECCEBEAEDEADDDEBBABABCCDBCAABABAD;BEBCABAEBAABACEBEDBCDACCEDBACAACEACAADEDBAEDA;99999BEBADDCBAEEDDBBCBAEADBECCECACABBAEEBEDADCDBCE;BEBDCCAADBCBAECADDEACEDEAEDAECBBEAEBDEABDEBDE;1;BEEAAEBEEBADEADDADAEABCEDDDBCBCBCCACBCDADCCEB;BACCCBABBADCBCEEEBCACACEEDBCCADBEADBADBBBACDB;BDABEABCADBCBAADDBECDAAECDAECBECBCCDEEAAADDBBCDCEB;BEDEEEAADBEBACABCDBABECECACADCBDCCEDCDABECDDD;1;160;200;180;160;80;780;C;E;C;D;1;C;A;B;B;A;A;B;A;A;A;A;A;A;B;A;A;B;A;A;A
190001078727;2019;7;F;1;3;1;1;4;1;1;0;;;;;;;;1301902;Itacoatiara;13;AM;1;1;1;1;505;509;514;518;421.4;460.5;487.8;489.8;ABBCDCDCBBBCBDCDEEDBDEACEBCBEBCCADECAEEDBAAEE;CDABAECDDACEBDBEACEDECEBACBAECABBCEEDADABCEDA;ABBAE99999EDCBCDDEEDDCADCBABACDBAABEEDCAEECEBCDCBA;ECBCAEBDBDEACDBEEBBACEABEDEDBBDEDBBADCACBEAED;0;DADCCEBBCCACBEEBEEBACBCDDDDADBCBBCEAEADEADAAE;ACACEEBCCBABADBBBACDBBACCCCADCEBADCBEEDBBEADB;EBBADCABDABACBCEBDEEAAADDBECDECDDBADBCDAAECBCCAECB;DBEBACABCDBABECEEEDCBDCCEDCDABEDAADDDECACAECB;1;120;120;120;100;0;460;B;E;C;B;5;B;A;B;C;A;B;B;A;A;A;A;A;A;B;B;A;C;A;B;A
